ID,study,experimental.history (yr),rrMWD,varMWD
2225,211,4,0.032157111,0.010988094
2226,211,4,0.01020417,0.010988094
2227,211,4,0.188900528,0.010988094
2228,211,4,0.122853673,0.010988094
2229,211,4,0.145810348,0.010988094
2230,211,4,0.185403224,0.010988094
2231,211,4,0.136965855,0.010988094
2232,211,4,0.165711502,0.010988094
2233,211,4,-0.031350529,0.010988094
2234,211,4,0.009132483,0.010988094
2235,212,4,0.151641268,0.00824107
2236,212,4,0.11890474,0.00824107
2237,212,4,0.084557388,0.00824107
2238,212,4,0.176456438,0.00824107
2239,212,4,0.100804699,0.00824107
2240,212,4,0.195308752,0.00824107
2241,212,4,0.160168752,0.00824107
2242,212,4,0.033447934,0.00824107
2243,212,4,-0.397682967,0.00824107
2244,212,4,0.12764556,0.00824107
2245,212,4,0.151230969,0.00824107
2246,212,4,-0.386122146,0.00824107
140,15,3,0.103989714,0.010565884
141,15,3,0.242140052,0.012420884
146,16,3,0.026550232,0.061806021
147,16,3,0.252310444,0.052998809
152,17,3,-0.029413885,0.05397966
153,17,3,0.316255445,0.040841325
230,22,3,0.427812407,0.046448349
231,22,3,0.212921997,0.066932156
232,22,3,0.205443974,0.067115345
233,22,3,0.025975486,0.075074146
421,45,3,0.065957968,0.117350099
422,45,3,0.19549202,0.176082191
423,45,3,0.190808171,0.083668467
424,45,3,-0.310671591,0.33271733
425,45,3,0.092206194,0.089570909
1429,97,3,-0.019724504,0.010988094
1430,97,3,0.093177228,0.010988094
1431,97,3,0.093177228,0.010988094
1432,97,3,-0.019724507,0.010988094
1433,97,3,0.093177221,0.010988094
1434,97,3,0.093177221,0.010988094
1435,97,3,-0.064538523,0.010988094
1436,97,3,0.110814364,0.010988094
1437,97,3,-0.03578911,0.010988094
1438,97,3,-0.064538519,0.010988094
1439,97,3,0.110814368,0.010988094
1440,97,3,-0.035789106,0.010988094
1441,97,3,-0.038764545,0.010988094
1442,97,3,0.048246834,0.010988094
1443,97,3,-0.050693115,0.010988094
1444,97,3,-0.038764542,0.010988094
1445,97,3,0.048246833,0.010988094
1446,97,3,-0.050693114,0.010988094
1460,17,3,0.369217317,0.00824107
