ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,POC.ck (g/kg),POC.csd,POC.cn,POC.t,POC.tsd,POC.tn,rrPOC,varPOC,MAOC.ck (g/kg),MAOC.csd,MAOC.cn,MAOC.t,MAOC.tsd,MAOC.tn,rrMAOC,varMAOC
57,10,Blanco-Canqui,2023,Soil Science Society of America Journal,13,-96.4,41.15,cold,clay loam,0-10,8,upland,0,no,no-tillage,rainfed,non-legume,1,surface,3.03E+00,6.30E-01,3,2.96E+00,7.40E-01,3,-0.023373351,0.035243685,,,,,,,,
58,10,Blanco-Canqui,2023,Soil Science Society of America Journal,13,-96.4,41.15,cold,clay loam,10-30,8,upland,0,no,no-tillage,rainfed,non-legume,1,surface,1.64E+00,3.41E-01,3,1.95E+00,4.88E-01,3,0.173133131,0.035287279,,,,,,,,
59,10,Blanco-Canqui,2023,Soil Science Society of America Journal,13,-96.4,41.15,cold,clay loam,10-30,8,upland,0,no,no-tillage,rainfed,non-legume,1,surface,1.58E+00,3.28E-01,3,1.70E+00,4.24E-01,3,0.073203404,0.035100629,,,,,,,,
60,10,Blanco-Canqui,2023,Soil Science Society of America Journal,14,-98.13333333,40.56666667,cold,loam,0-10,8,upland,0,no,no-tillage,irrigated,non-legume,1,surface,6.55E+00,1.36E+00,3,1.43E+01,3.56E+00,3,0.780794488,0.035029444,,,,,,,,
61,10,Blanco-Canqui,2023,Soil Science Society of America Journal,14,-98.13333333,40.56666667,cold,loam,0-10,8,upland,0,no,no-tillage,irrigated,non-legume,1,surface,2.02E+00,4.20E-01,3,2.65E+00,6.62E-01,3,0.271462129,0.035212251,,,,,,,,
62,10,Blanco-Canqui,2023,Soil Science Society of America Journal,14,-98.13333333,40.56666667,cold,clay loam,10-30,8,upland,0,no,no-tillage,irrigated,non-legume,1,surface,1.58E+00,3.28E-01,3,1.70E+00,4.24E-01,3,0.073203404,0.035100629,,,,,,,,
63,10,Blanco-Canqui,2023,Soil Science Society of America Journal,14,-98.13333333,40.56666667,cold,clay loam,10-30,8,upland,0,no,no-tillage,irrigated,non-legume,1,surface,8.18E-01,1.70E-01,3,9.45E-01,2.36E-01,3,0.144322591,0.035186198,,,,,,,,
64,11,Amado,2006,Journal of Environmental Quality,12,-53.7,-29.75,temperate,clay loam,0-10,10,upland,120,no,no-tillage,rainfed,non-legume,1,surface,1.744,3.63E-01,3,3.984,9.95E-01,3,0.826105014,0.035232579,,,,,,,,
65,11,Amado,2006,Journal of Environmental Quality,12,-53.7,-29.75,temperate,clay loam,0-10,10,upland,120,no,no-tillage,rainfed,legume,1,surface,1.744,3.63E-01,3,4.752,1.19E+00,3,1.002384257,0.035344597,,,,,,,,
66,12,Beltr¨¢n,2018,Environmental Earth Sciences ,15,-58.25,-37.75,temperate,clay loam,0-10,8,upland,0,no,no-tillage,rainfed,non-legume,1,surface,6.21474,0.70554,3,9.36138,0.44067,3,0.409668826,0.005034745,17.1795,0.7692,3,18.46155,0.96155,3,0.071973378,0.001572491
