"","x","y","Total_Cu","Total_Fe","Total_Mn","Total_Zn","Total_Co","Total_Ni","Micronutrient","AMS_upland.micronutrient","AMS_upland.micronutrient_126","AMS_upland.micronutrient_370","AMS_paddy.micronutrient","AMS_paddy.micronutrient_126","AMS_paddy.micronutrient_370"
"816",36.58256,0.21658,13.744502,78033.786485,1176.729308,82.217113,13.644542,20.841663,79340.963615,NA,NA,NA,NA,NA,NA
"817",36.58769,0.21792,18.35,70935,1903.45,85.95,22.6,23.25,72988.6,NA,NA,NA,NA,NA,NA
"818",-103.86538,26.59771,10.15,16995,316.95,45.55,4.85,8.5,17381,7.36456346511841,10.1158962249756,9.97445201873779,NA,NA,NA
"819",-103.85282,26.59797,9.8,20295,313.05,49.5,6.3,8.9,20682.55,7.36456346511841,10.1158962249756,9.97445201873779,NA,NA,NA
"820",-103.83978,26.59927,36,19544,304.7,47.35,5.45,8.75,19946.25,7.36456346511841,10.1158962249756,9.97445201873779,NA,NA,NA
"821",110.01595,44.81247,2.99461,3717.458575,120.083849,7.985626,1.946496,2.245957,3852.715113,NA,NA,NA,NA,NA,NA
"822",110.01779,44.81197,3.695565,5262.185378,175.089892,10.387535,2.397123,3.495805,5457.251298,NA,NA,NA,NA,NA,NA
"823",110.02052,44.81171,4.786598,7301.555644,259.722776,14.658955,3.091344,4.686877,7588.502194,NA,NA,NA,NA,NA,NA
"824",110.02584,44.81085,4.83453,7201.953748,242.075359,15.001994,3.090112,5.233254,7472.188995,NA,NA,NA,NA,NA,NA
"825",110.18218,44.87133,4.797122,13106.136318,613.182091,29.882071,5.896462,9.994004,13769.888067,NA,NA,NA,NA,NA,NA
"826",110.17693,44.86871,9.54046,22005.994006,688.111888,51.298701,9.74026,16.233766,22780.919081,NA,NA,NA,NA,NA,NA
"827",110.17548,44.86707,5.871815,15108.479299,399.482484,37.669188,6.319666,10.648885,15568.471338,NA,NA,NA,NA,NA,NA
"828",110.16869,44.86254,8.567444,23080.792987,354.253835,51.95258,7.820283,14.445109,23517.832237,NA,NA,NA,NA,NA,NA
"829",110.24617,44.85478,3.7826,10517.121242,236.810671,21.949034,4.330082,6.171611,10790.16524,NA,NA,NA,NA,NA,NA
"830",110.24221,44.85377,4.47494,11838.206046,278.39101,25.009944,4.723548,7.706842,12158.512331,NA,NA,NA,NA,NA,NA
"831",110.23757,44.85123,7.2,15731.5,318.1,32.55,6.25,9.95,16105.55,NA,NA,NA,NA,NA,NA
"832",110.23391,44.85214,8.133733,17760.179641,355.838323,35.828343,6.736527,11.177645,18177.894212,NA,NA,NA,NA,NA,NA
"833",18.46941,-23.25335,0.08,106.6,0.8,0.12,0.03,0.09,107.72,NA,NA,NA,NA,NA,NA
"834",18.46659,-23.2529,0.07,112.31,0.67,0.12,0.03,0.09,113.29,NA,NA,NA,NA,NA,NA
"835",18.46352,-23.25237,0.09,100.1,0.78,0.12,0.02,0.08,101.19,NA,NA,NA,NA,NA,NA
"836",19.13877,-21.9806,0.07,15.56,0.86,0.1,0.03,0.09,16.71,NA,NA,NA,NA,NA,NA
"837",19.14229,-21.98445,0.09,96.35,0.85,0.09,0.03,0.09,97.5,NA,NA,NA,NA,NA,NA
"838",19.14349,-21.9896,0.05,70.12,0.79,0.08,0.02,0.07,71.13,NA,NA,NA,NA,NA,NA
"839",18.91422,-19.06835,0.04,29.67,0.4,0.05,0.01,0.03,30.2,18.7774314880371,24.8346843719482,24.4555816650391,NA,NA,NA
"840",18.91669,-19.07036,0.02,31.21,0.25,0.03,0.01,0.03,31.55,18.7774314880371,24.8346843719482,24.4555816650391,NA,NA,NA
"841",18.92027,-19.07367,0.01,32.17,0.26,0.03,0.01,0.03,32.51,18.7774314880371,24.8346843719482,24.4555816650391,NA,NA,NA
"842",15.79339,-24.05694,0.14,243.12,2.68,0.4,0.08,0.18,246.6,NA,NA,NA,NA,NA,NA
"843",15.79053,-24.05342,0.16,223.46,2.54,0.38,0.09,0.19,226.82,NA,NA,NA,NA,NA,NA
"844",15.78561,-24.04877,0.1,200.56,2.3,0.34,0.07,0.17,203.54,NA,NA,NA,NA,NA,NA
"845",15.56169,-22.95814,0.04,77.04,1.24,0.18,0.03,0.08,78.61,NA,NA,NA,NA,NA,NA
"846",15.54695,-22.95741,0.08,127.76,2.03,0.27,0.05,0.1,130.29,NA,NA,NA,NA,NA,NA
"847",15.77173,-24.34024,0.21,335.85,4.41,5.78,0.13,0.29,346.67,NA,NA,NA,NA,NA,NA
"848",15.76662,-24.33415,0.11,208.82,1.84,0.32,0.07,0.17,211.33,NA,NA,NA,NA,NA,NA
"849",15.75855,-24.32231,0.08,154.38,1.7,0.27,0.06,0.16,156.65,NA,NA,NA,NA,NA,NA
"850",19.9786,-25.13081,0.04,34.99,0.16,0.07,0.01,0.03,35.3,NA,NA,NA,NA,NA,NA
"851",19.98408,-25.12885,0.06,37.03,0.19,0.09,0.01,0.04,37.42,NA,NA,NA,NA,NA,NA
"852",19.98935,-25.12635,0.06,34.23,0.17,0.09,0.01,0.04,34.6,NA,NA,NA,NA,NA,NA
"853",2.7025,13.522,1.65,3830,12.1,5.15,0,0,3848.9,NA,NA,NA,NA,NA,NA
"854",2.70822,13.52344,1.6,3128.05,21.85,6.15,1.7,0,3159.35,NA,NA,NA,NA,NA,NA
"855",2.111,13.19106,0.85,2101.5,16.75,3.2,0,0,2122.3,NA,NA,NA,NA,NA,NA
"856",2.10764,13.19061,1.45,4768.7,20.5,4.45,1.65,0,4796.75,NA,NA,NA,NA,NA,NA
"857",2.15083,12.80572,1.85,5037.5,52.2,4.9,2.05,0,5098.5,NA,NA,NA,NA,NA,NA
"858",2.17553,12.80514,1.5,5002,24.8,3.9,1.8,0,5034,NA,NA,NA,NA,NA,NA
"859",35.21655,31.55473,8.423046,20886.164274,325.009968,35.336922,8.373206,20.584131,21283.891547,0.505104303359985,3.4708309173584,3.52030563354492,NA,NA,NA
"860",35.21578,31.55507,9.994004,21418.149111,323.605836,35.528683,8.694783,21.037378,21817.009794,0.505104303359985,3.4708309173584,3.52030563354492,NA,NA,NA
"861",35.21579,31.55444,11.807493,22709.744918,358.858111,38.262256,9.416102,22.668394,23150.757274,0.505104303359985,3.4708309173584,3.52030563354492,NA,NA,NA
"862",-80.4628,-5.14567,4.243211,5624.001597,66.34385,14.327077,1.946885,1.996805,5712.859425,NA,NA,NA,NA,NA,NA
"863",-80.46453,-5.13709,5.837158,6876.371982,86.360008,16.61345,2.394732,2.344841,6989.922171,NA,NA,NA,NA,NA,NA
"864",-80.46495,-5.12992,3.193613,6776.447106,88.223553,17.115768,2.44511,2.345309,6889.770459,NA,NA,NA,NA,NA,NA
"865",-80.95268,-5.12102,4.95,7571.5,101.6,14.8,2.5,2.9,7698.25,6.81657314300537,10.326171875,10.5435466766357,1.80341756343842,4.23163366317749,4.41629409790039
"866",-80.95462,-5.12812,4.94308,10762.931895,138.955462,22.019173,3.445177,4.244058,10936.538846,6.81657314300537,10.326171875,10.5435466766357,1.80341756343842,4.23163366317749,4.41629409790039
"867",-80.9563,-5.13616,6.287425,13266.966068,156.586826,26.596806,4.191617,5.838323,13466.467066,6.81657314300537,10.326171875,10.5435466766357,1.80341756343842,4.23163366317749,4.41629409790039
"868",-6.99667,38.07486,15.1,31393.5,629.35,39.05,8.45,21.05,32106.5,-11.3758201599121,3.45428133010864,2.24587202072144,NA,NA,NA
"869",-6.99596,38.07808,13.717079,32160.814046,585.843974,45.14166,9.427374,22.346369,32837.290503,-11.3758201599121,3.45428133010864,2.24587202072144,NA,NA,NA
"870",-7.00648,38.08376,15.48761,36767.086331,494.754197,44.264588,11.041167,25.779376,37358.413269,NA,NA,NA,-9.10282516479492,0.70196670293808,-0.0971429646015167
"871",-8.32043,38.70364,3.745505,10156.811826,583.30004,26.468238,2.996404,1.797843,10775.119856,-3.5149929523468,9.84676361083984,9.17354393005371,-6.48359441757202,1.13381350040436,1.00281941890717
"872",-8.31967,38.70527,2.746704,14837.694766,524.770276,29.364762,3.745505,1.747903,15400.069916,-3.5149929523468,9.84676361083984,9.17354393005371,-6.48359441757202,1.13381350040436,1.00281941890717
"873",-8.31899,38.7083,2.794411,9623.752495,372.005988,19.361277,2.944112,2.345309,10023.203593,-3.5149929523468,9.84676361083984,9.17354393005371,-6.48359441757202,1.13381350040436,1.00281941890717
"874",-8.07378,37.58968,9.139033,22575.908909,375.349581,32.261286,6.69197,13.63364,23012.984419,-3.6019926071167,7.62297582626343,6.8514289855957,-6.33903932571411,0.73095428943634,0.509588778018951
"875",-8.06825,37.585,12.39752,28055.888822,408.068386,52.389522,6.29874,16.046791,28551.089782,-3.6019926071167,7.62297582626343,6.8514289855957,-6.33903932571411,0.73095428943634,0.509588778018951
"876",-8.05996,37.58949,10.69786,22159.068186,509.74805,42.791442,6.69866,15.046991,22744.05119,-3.6019926071167,7.62297582626343,6.8514289855957,-6.33903932571411,0.73095428943634,0.509588778018951
"877",-8.84724,38.85531,4.348261,4011.045582,209.766094,16.243503,2.9988,2.29908,4246.701319,-3.69960737228394,6.68871402740479,5.50965642929077,-7.36157989501953,-1.02523481845856,-1.62970960140228
"878",-8.85405,38.84673,3.295386,2043.539045,35.84981,15.47833,0.898742,1.497903,2100.559217,-3.69960737228394,6.68871402740479,5.50965642929077,-7.36157989501953,-1.02523481845856,-1.62970960140228
"879",-8.85658,38.8468,2.9994,1898.470306,64.737053,16.296741,1.09978,1.94961,1985.552889,-3.69960737228394,6.68871402740479,5.50965642929077,-7.36157989501953,-1.02523481845856,-1.62970960140228
"880",-8.51801,38.10917,15.32854,37438.086679,479.279009,74.845217,7.888955,24.216097,38039.644498,-5.34966421127319,7.03251123428345,6.11025094985962,-8.86875915527344,-1.08359885215759,-1.40483582019806
"881",-8.51733,38.10661,9.486719,24096.265229,842.320751,53.225484,7.289794,17.375674,25025.963651,-5.34966421127319,7.03251123428345,6.11025094985962,-8.86875915527344,-1.08359885215759,-1.40483582019806
"882",-8.51155,38.10872,9.744154,29028.08315,518.788727,74.005597,8.195083,19.688187,29658.504897,-5.34966421127319,7.03251123428345,6.11025094985962,-8.86875915527344,-1.08359885215759,-1.40483582019806
"883",22.24269,-33.09214,16.839896,36022.886268,671.097342,147.661403,7.695383,20.987408,36887.167699,-8.07108211517334,4.25052642822266,4.46536016464233,-9.06499004364014,-1.04815423488617,-0.754442453384399
"884",22.24581,-33.08915,17.175954,31639.205113,686.189335,134.461754,8.288396,21.469942,32506.790493,-8.07108211517334,4.25052642822266,4.46536016464233,-9.06499004364014,-1.04815423488617,-0.754442453384399
