x,y,Total_Cu,Total_Fe,Total_Mn,Total_Zn,Total_Co ,Total_Ni ,Micronutrient
-5.995864,37.416482,12.315204,17776.162791,312.381784,36.345230,4.592334,16.265445,18158.062787
-5.995864,37.416482,10.067273,14184.938893,266.574405,32.803380,3.627708,13.565333,14511.576990
-93.834540,58.619150,11.397492,2686.617058,97.440621,12.321623,1.300944,6.364155,2815.441894
-93.834540,58.619150,15.319304,1233.270730,173.349865,24.309240,0.835413,5.859513,1452.944064
-93.808620,58.617820,3.505373,3469.561832,34.398633,9.440518,0.903260,1.867220,3519.676837
-93.808620,58.617820,7.239273,3032.945879,53.578979,16.148845,0.764069,2.803288,3113.480332
-93.808620,58.617820,7.734281,4506.983411,63.107408,11.179493,1.406028,3.542459,4593.953080
-93.814690,58.623370,4.426736,830.036394,16.566360,20.115151,0.270409,1.194592,872.609642
-93.814690,58.623370,5.300622,393.590402,23.680825,20.520098,0.137499,1.001985,444.231431
-93.814690,58.623370,3.934211,497.524109,12.141986,19.171396,0.267409,1.492746,534.531858
4.828000,7.757000,6.040802,7386.384905,112.102780,13.725144,1.472547,5.349316,7525.075495
4.828000,7.757000,9.716575,10503.533521,167.574152,26.320238,1.194962,7.984122,10716.323569
4.828000,7.757000,6.421183,9387.045234,175.841362,10.963128,2.329878,5.272142,9587.872928
4.414000,7.616000,9.660836,16319.444444,71.110764,27.640100,0.949347,10.208458,16439.013950
4.414000,7.616000,13.046069,26456.669329,143.990961,47.140521,2.584178,16.756546,26680.187604
4.414000,7.616000,17.382321,27372.448980,507.752308,84.049218,2.188433,18.290700,28002.111959
4.385000,7.615000,18.746631,44359.090909,179.615444,22.022689,2.498354,17.345433,44599.319459
4.385000,7.615000,20.424884,43254.645907,135.272667,25.782770,0.127775,23.757359,43460.011361
4.385000,7.615000,25.888089,58221.357850,281.017710,23.119284,1.383291,23.110895,58575.877119
-81.040400,28.296000,1.664125,238.884572,4.597393,6.117387,0.000000,0.782089,252.045566
