ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,species,unit,cellulase.ck (nmol h-1 g-1 soil),cellulase.csd,cellulase.cn,cellulase.t,cellulase.tsd,cellulase.tn,rrcellulase,varcellulase
41,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,0,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.15E+02,2.36E+01,3,1.38E+02,21.131802,3,0.182321557,0.021854223
42,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,0,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.15E+02,2.36E+01,3,1.38E+02,21.131802,3,0.182321557,0.021854223
43,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,0,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.15E+02,2.36E+01,3,1.81E+02,27.716349,3,0.453564903,0.021854223
44,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,0,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.15E+02,2.36E+01,3,1.62E+02,24.806898,3,0.342664207,0.021854223
45,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,0,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,6.54E+01,1.34E+01,3,1.31E+02,20.059899,3,0.694675065,0.021809873
46,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,0,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,6.54E+01,1.34E+01,3,1.12E+02,17.150448,3,0.537976613,0.021809873
47,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,0,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,6.54E+01,1.34E+01,3,1.54E+02,23.581866,3,0.856430344,0.021809873
48,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay loam,10-30,22,upland,0,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,6.54E+01,1.34E+01,3,1.23E+02,18.834867,3,0.631662097,0.021809873
49,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,0,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.00E+02,2.05E+01,3,1.00E+02,15.3129,3,0,0.021824497
50,5,Melero,2011,Soil & Tillage Research,5,-4.516666667,37.76666667,temperate,clay,30-60,22,upland,0,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,1.00E+02,2.05E+01,3,1.00E+02,15.3129,3,0,0.021824497
